dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
advcl->advmod,advcl,advmod,12506.0,8403.0,0.0029918710390184865,0.0031171796924442056,0.0001253086534257191,0.0001253086534257191,4.188303967367118
relcl->attr,relcl,attr,1485.0,625.0,0.00035526375283403586,0.00023185020918453273,-0.00012341354364950313,0.00012341354364950313,-34.73856892660724
acl->aux,acl,aux,7304.0,4383.0,0.001747371347272591,0.001625919146969291,-0.00012145220030329996,0.00012145220030329996,-6.950566088477434
ROOT->compound,ROOT,compound,1461.0,1248.0,0.00034952211642459686,0.00046295849769967495,0.0001134363812750781,0.0001134363812750781,32.45470771219422
relcl->agent,relcl,agent,1312.0,541.0,0.00031387612371599664,0.00020068954107013153,-0.0001131865826458651,0.0001131865826458651,-36.06090877695409
xcomp->advmod,xcomp,advmod,2901.0,1576.0,0.0006940203009909347,0.0005846334874797177,-0.000109386813511217,0.000109386813511217,-15.761327637683298
nsubj->nmod,nsubj,nmod,3217.0,2367.0,0.0007696185137152144,0.0008780631122236623,0.00010844459850844796,0.00010844459850844796,14.090695139978951
relcl->advcl,relcl,advcl,2175.0,1695.0,0.000520335799605406,0.0006287777673084527,0.00010844196770304674,0.00010844196770304674,20.84076624850398
ccomp->agent,ccomp,agent,1372.0,593.0,0.00032823021473959405,0.00021997947847428466,-0.00010825073626530938,0.00010825073626530938,-32.980125352320655
attr->compound,attr,compound,2732.0,1474.0,0.0006535896112744686,0.000546795533340802,-0.00010679407793366669,0.00010679407793366669,-16.33962292109009
ROOT->cc,ROOT,cc,23880.0,15113.0,0.0057129282273917685,0.0056063235382493495,-0.00010660468914241907,0.00010660468914241907,-1.8660253533605013
xcomp->auxpass,xcomp,auxpass,1084.0,415.0,0.0002593305778263265,0.00015394853889852975,-0.00010538203892779675,0.00010538203892779675,-40.63617943209575
