feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
word_additionally_per_1k_words,marker_words,2021-01-01,83,19,64,0.13244760263608227,0.2029195916093329,0.0019262782244298528,0.02311533869315823,0.017717979953524338,0.02624457653024904,-0.033721390045763786,0.06915734995281246,0.4996057865416168,-0.00038650675921256174,-0.004638081110550741,0.002224124194965604,0.02668949033958725,-0.05694948217614174,0.04767331995504026,0.8620389082898322,0.001539771465217291,0.018477257582607494,0.3288413645583247,monthly_segmented_wls_hac,6,2021,0.9557365048579519
word_meticulously_per_1k_words,marker_words,2021-01-01,83,19,64,0.0007371094259442422,0.002058291475112178,4.857971032569691e-05,0.0005829565239083629,-0.000383319752293533,0.0007420893934706699,-0.001837814963496046,0.00107117545890898,0.6054764652296902,-8.528409177081364e-06,-0.00010234091012497637,5.4695432887953176e-05,0.0006563451946554381,-0.001388777491649635,0.0011840956713996824,0.8760917961197893,4.005130114861554e-05,0.00048061561378338647,0.07587410686951901,monthly_segmented_wls_hac,6,2021,0.9557365048579519
word_insight_per_1k_words,marker_words,2021-01-01,83,19,64,0.2117055153472057,0.3394899965312719,0.0043360626195111905,0.052032751434134286,-0.02333954789677914,0.032390534367894346,-0.08682499525785206,0.04014589946429378,0.47117600684002314,-0.000200931412708329,-0.002411176952499948,0.00377574302322897,0.04530891627874764,-0.09121665285884532,0.08639429895384543,0.9575594969048798,0.0041351312068028615,0.04962157448163434,0.5867259142620167,monthly_segmented_wls_hac,6,2021,0.9575594969048798
certainty_ratio,other,2021-01-01,83,19,64,0.0017178445915117123,0.0016534144215331601,-2.0751934698652687e-05,-0.00024902321638383226,-0.0003897145060589003,0.00016351055907917172,-0.0007101952018540769,-6.923381026372372e-05,0.017152563918847,3.0467915379734263e-05,0.0003656149845568112,2.786509758263707e-05,0.00033438117099164486,-0.0002897721105868127,0.001021002079700435,0.27421478510512676,9.715980681081576e-06,0.00011659176817297892,0.5374266771661935,monthly_segmented_wls_hac,6,2021,0.3065198217843385
hedge_ratio,other,2021-01-01,83,19,64,0.004623736141436863,0.003972748889939886,-2.1064049357232714e-05,-0.0002527685922867926,-0.0002620168316343409,0.00010687260915886107,-0.00047148714558570856,-5.25465176829732e-05,0.0142193293121591,1.1556528526688333e-05,0.00013867834232026,1.1301656141462258e-05,0.0001356198736975471,-0.00012713661012693232,0.00040449329476745233,0.3065198217843385,-9.507520830544382e-06,-0.00011409024996653258,0.7589574373731318,monthly_segmented_wls_hac,6,2021,0.3065198217843385
phrase_deep_dive_per_1k_words,phrases,2021-01-01,83,19,64,0.0002456268420799125,0.0,5.477173601422389e-05,0.0006572608321706866,-0.0006947006286585386,0.0002286242500803927,-0.0011428041588161081,-0.00024659709850096887,0.002376699164509955,-5.477173601422382e-05,-0.0006572608321706859,2.9702166210792516e-05,0.0003564259945295102,-0.0013558557814485259,4.133411710715418e-05,0.06517852066942988,6.776263578034403e-20,8.131516293641283e-19,0.1837242383275135,monthly_segmented_wls_hac,6,2021,0.45624964468600915
phrase_intricate_web_per_1k_words,phrases,2021-01-01,83,19,64,0.0,5.5869017992505506e-05,5.399321986312769e-20,6.479186383575323e-19,0.00021338867625241944,0.0001539407815772431,-8.833525563897701e-05,0.0005151126081438159,0.16569384347663632,-4.569077616040676e-06,-5.4828931392488116e-05,3.291531641129519e-06,3.9498379693554227e-05,-0.0001322457555918544,2.2587892806878167e-05,0.1650971114665601,-4.569077616040622e-06,-5.4828931392487466e-05,0.04060863778470469,monthly_segmented_wls_hac,6,2021,0.5778398901329603
marker_phrases_total_per_1k_words,phrases,2021-01-01,83,19,64,0.0003822435298083185,0.0015841617563926162,7.883425660409688e-05,0.0009460110792491626,-0.000348609973381883,0.0007621134543737454,-0.001842352343954424,0.0011451323971906578,0.6473653849437737,-5.263502963756227e-05,-0.0006316203556507472,5.7165288812377225e-05,0.0006859834657485267,-0.00197614794851786,0.0007129072372163652,0.3571801431704204,2.6199226966534615e-05,0.00031439072359841535,0.03740683862366134,monthly_segmented_wls_hac,6,2021,0.8334203340643143
phrase_comprehensive_chapter_per_1k_words,phrases,2021-01-01,83,19,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,2021,1.0
phrase_essential_insight_per_1k_words,phrases,2021-01-01,83,19,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,2021,1.0
phrase_intricate_interplay_per_1k_words,phrases,2021-01-01,83,19,64,0.00013661668772840604,0.0015282927384001107,2.4062520589872935e-05,0.00028875024707847525,0.0001327019790242361,0.0007086184453722815,-0.0012561901739054358,0.001521594131953908,0.851450046735301,6.705783992702221e-06,8.046940791242666e-05,3.557566455004237e-05,0.0004269079746005085,-0.00075627022230457,0.0009172090381294232,0.8504897560912736,3.076830458257516e-05,0.0003692196549909019,0.05578975635246941,monthly_segmented_wls_hac,6,2021,1.0
phrase_meticulously_delve_per_1k_words,phrases,2021-01-01,83,19,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,2021,1.0
em_dash_per_1k_words,punctuation,2021-01-01,83,19,64,0.12482500115980817,0.2031220365258918,-0.003152629513916755,-0.03783155416700106,-0.10352043378891837,0.045028348297915084,-0.19177599645283194,-0.015264871125004811,0.02150461010538389,0.009695325335785486,0.11634390402942582,0.0015725543232760716,0.01887065187931286,0.07935742634597262,0.15333038171287902,7.033375789336377e-10,0.0065426958218687305,0.07851234986242477,0.6500842226030576,monthly_segmented_wls_hac,6,2021,2.110012736800913e-09
