month_ts,paper_count,em_dash_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_mean,clause_depth_monthly_mean,dependency_entropy_monthly_mean,dependency_length_monthly_mean,coordination_count_monthly_mean,sentence_depth_std_monthly_mean,list_of_three_monthly_mean,marker_words_total_per_1k_words_monthly_mean,marker_verbs_total_per_1k_words_monthly_mean,marker_adjectives_total_per_1k_words_monthly_mean,marker_phrases_total_per_1k_words_monthly_mean,sequential_markers_total_per_1k_words_monthly_mean,causal_markers_total_per_1k_words_monthly_mean,contrast_markers_total_per_1k_words_monthly_mean,emphasis_markers_total_per_1k_words_monthly_mean,summary_markers_total_per_1k_words_monthly_mean
2019-05-01,15,1.0582010582010581,0.0,2.3128857896499895,11.6,2.693839557854013,3.229823571633118,4.266666666666667,2.4020829015475393,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,15,1.099885475842206,0.0,2.5365624629386616,11.533333333333333,2.7968090458211714,3.3574637079748175,5.066666666666666,2.2590318822546385,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,15,0.45662100456621,0.3436426116838488,3.150522602399725,12.466666666666667,2.825938022650489,3.1944941536302127,7.666666666666667,2.67334766036215,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,15,0.35650623885918004,1.2574071397600808,4.768413575070294,12.133333333333333,2.75245955877601,3.301592131896661,4.466666666666667,2.4274020080175416,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,15,0.0,1.2879818594104306,8.42693767900899,10.8,2.696390010821283,3.3307636241622123,4.4,1.9094587494182678,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,15,1.7429193899782134,0.2469135802469136,3.874183101694338,11.6,2.779633999970678,3.282948025539791,5.333333333333333,2.104899189361636,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,15,0.0,1.839080459770115,1.934006805897486,10.933333333333334,2.797094574293214,3.401200490895676,5.466666666666667,1.863615598260107,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,15,0.29112081513828236,0.5822416302765647,2.4201893328511663,12.266666666666667,2.7841024588824372,3.354718234721665,6.533333333333333,2.428755923970756,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,15,0.0,0.3401360544217687,3.5184087910807835,10.933333333333334,2.7737638882150035,3.2957544995115193,5.066666666666666,1.9762585630998393,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,15,0.5722460658082975,1.4536340852130325,1.690231124137219,10.866666666666667,2.7469770500642516,3.227852957348385,5.266666666666667,2.0078655759751403,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,15,0.0,1.3231814663229686,4.447475575036573,12.266666666666667,2.7982725258772665,3.612233941548179,6.266666666666667,2.500339028125956,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
