feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
certainty_ratio,other,2022-11-30,83,42,41,0.0015910344259887955,0.0017108229136815502,-1.1250802317800417e-05,-0.000135009627813605,-0.00016436911772502004,0.000257493421946117,-0.0006690562247394093,0.00034031798928936926,0.5232504411000267,3.5765042933648086e-05,0.00042918051520377703,8.681037715507635e-06,0.00010417245258609161,0.00022500250813503744,0.0006333585222725166,3.790301130870759e-05,2.451424061584767e-05,0.00029417088739017204,0.10563985567882128,monthly_segmented_wls_hac,6,7.580602261741518e-05,0.5232504411000267
hedge_ratio,other,2022-11-30,83,42,41,0.004210117042723683,0.0037627906871023557,-7.806407245664498e-06,-9.367688694797397e-05,-0.00047753105533783236,0.0003484420802751997,-0.0011604775326772238,0.0002054154220015591,0.1705387678451571,1.6865266686279548e-05,0.00020238320023535457,2.0088120930904283e-05,0.0002410574511708514,-0.0002700894040595142,0.0006748558045302233,0.4011527926621533,9.05885944061505e-06,0.0001087063132873806,0.036537704980905916,monthly_segmented_wls_hac,6,0.4011527926621533,0.3410775356903142
marker_phrases_total_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
phrase_comprehensive_chapter_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
phrase_deep_dive_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
phrase_essential_insight_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
phrase_intricate_interplay_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
phrase_intricate_web_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
phrase_meticulously_delve_per_1k_words,phrases,2022-11-30,83,42,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,monthly_segmented_wls_hac,6,1.0,1.0
em_dash_per_1k_words,punctuation,2022-11-30,83,42,41,0.14307632031337034,0.456257849816997,0.0010403783883568805,0.012484540660282567,-0.21362301406661646,0.10213281104818334,-0.41380332372105577,-0.013442704412177126,0.03647253616501764,0.023029944783497396,0.2763593374019687,0.004084274418538826,0.04901129302246591,0.18029720307793556,0.37242147172600193,1.713517416201297e-08,0.024070323171854275,0.2888438780622513,0.32597101951453933,monthly_segmented_wls_hac,6,5.140552248603892e-08,0.10941760849505291
