family,dataset_a,dataset_b,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
punctuation,arxiv_ai_abstracts,arxiv_stat_titles,3,0.06742738103255708,0.9570418027779825,0.6666666666666666,1.7834118311981497
punctuation,arxiv_qbio_titles,arxiv_stat_abstracts,3,-0.036252215532578264,0.9769160646755057,0.3333333333333333,0.6307806901201836
punctuation,arxiv_ai_titles,arxiv_qbio_abstracts,3,-0.1635246303897349,0.8954273559314043,0.6666666666666666,0.3935301613777881
punctuation,arxiv_qbio_abstracts,arxiv_stat_titles,3,-0.17500124642522502,0.8880141039775847,0.6666666666666666,0.6193803342878799
punctuation,medarxiv_abstracts,medarxiv_titles,3,-0.270583437910359,0.825566802815071,0.3333333333333333,1.387230539148847
punctuation,arxiv_ai_titles,arxiv_stat_abstracts,3,-0.2711479987841283,0.82519343462378,0.6666666666666666,0.4342884954026824
punctuation,arxiv_stat_abstracts,arxiv_stat_titles,3,-0.28233783294041437,0.8177801826699603,0.6666666666666666,0.5427981221096325
punctuation,arxiv_qbio_titles,medarxiv_abstracts,3,-0.6415057574488211,0.5566200900754319,0.3333333333333333,0.68529073547423
punctuation,arxiv_ai_titles,medarxiv_abstracts,3,-0.804471319569458,0.4048974600237064,0.6666666666666666,0.7186958810346826
punctuation,arxiv_stat_titles,medarxiv_abstracts,3,-0.8113334790843582,0.39748420806988655,0.6666666666666666,0.4565804328526636
readability,arxiv_qbio_abstracts,arxiv_stat_abstracts,7,0.971827954656421,0.0002520076011902125,1.0,0.8446458423002974
readability,arxiv_ai_abstracts,arxiv_qbio_abstracts,7,0.9710741967898653,0.0002690940961329263,1.0,0.6013354613643167
readability,arxiv_qbio_abstracts,medarxiv_abstracts,7,0.9559608318691672,0.0007633572173903605,1.0,2.3083988048378172
readability,arxiv_ai_titles,arxiv_stat_titles,7,0.9350017970047666,0.001997168744971917,1.0,0.09387385449248842
readability,arxiv_stat_abstracts,medarxiv_abstracts,7,0.9294835749820317,0.002441028729724205,1.0,1.4389473229871874
readability,arxiv_ai_abstracts,arxiv_stat_abstracts,7,0.9066013015566209,0.004866564678208069,1.0,1.4057762918696128
readability,arxiv_ai_abstracts,medarxiv_abstracts,7,0.9050875040535004,0.005061917411290624,1.0,2.77715278197227
readability,arxiv_ai_abstracts,arxiv_qbio_titles,7,0.8583368193643771,0.013421940365567897,1.0,2.976253204321541
readability,arxiv_qbio_titles,arxiv_stat_titles,7,0.8542740401736627,0.014372135143249934,0.8571428571428571,0.1386847120075062
readability,arxiv_qbio_abstracts,arxiv_qbio_titles,7,0.8117276756810687,0.026616434079446347,1.0,2.6117542147874127
readability,arxiv_qbio_titles,arxiv_stat_abstracts,7,0.7662871340942744,0.04451443666277229,1.0,1.5798710142382015
readability,arxiv_ai_titles,arxiv_qbio_titles,7,0.7304594611983521,0.06226438648248127,0.8571428571428571,0.23996288812081037
readability,arxiv_qbio_titles,medarxiv_abstracts,7,0.6247383675961206,0.1336270253757519,1.0,0.3117340921906365
readability,arxiv_ai_abstracts,arxiv_stat_titles,7,0.5012624302741996,0.2517797248470681,0.8571428571428571,3.2484335555073645
readability,arxiv_stat_abstracts,arxiv_stat_titles,7,0.47950973691565685,0.276222408114005,0.8571428571428571,1.6856964998660913
readability,arxiv_qbio_abstracts,arxiv_stat_titles,7,0.4661278070624996,0.2917649684237084,0.8571428571428571,2.717579700415303
readability,arxiv_ai_titles,arxiv_stat_abstracts,7,0.461246314128255,0.29752865142326934,0.8571428571428571,1.8287427276487678
readability,arxiv_ai_abstracts,arxiv_ai_titles,7,0.3789033490776176,0.4019162760896878,0.8571428571428571,3.257688166436341
readability,arxiv_ai_titles,arxiv_qbio_abstracts,7,0.3778742255544121,0.4033019216722301,0.8571428571428571,2.634386006091473
readability,arxiv_stat_titles,medarxiv_abstracts,7,0.2242498912164716,0.6288012005468117,0.8571428571428571,0.4390444536932276
readability,arxiv_ai_titles,medarxiv_abstracts,7,0.17464834821946465,0.7080088010009926,0.8571428571428571,0.4805353844640707
readability,medarxiv_abstracts,medarxiv_titles,7,-0.31012595435789486,0.498462486826239,0.0,1.113691710013911
readability,arxiv_stat_abstracts,medarxiv_titles,7,-0.43069485497381044,0.334713985637862,0.0,2.464736771092039
readability,arxiv_ai_titles,medarxiv_titles,7,-0.4843634160139787,0.27067950132422997,0.14285714285714285,0.6331563255498402
readability,arxiv_qbio_abstracts,medarxiv_titles,7,-0.5462209853174538,0.2046062327055704,0.0,3.243939816747518
readability,arxiv_ai_abstracts,medarxiv_titles,7,-0.6472426527991733,0.11607046227360385,0.0,3.842063163482794
readability,arxiv_stat_titles,medarxiv_titles,7,-0.7397663972709558,0.05734126962290333,0.14285714285714285,0.6424109364788169
readability,arxiv_qbio_titles,medarxiv_titles,7,-0.8511036418418567,0.01513953764598296,0.0,0.8848657568538374
sequential_markers,arxiv_qbio_abstracts,medarxiv_titles,3,0.8043123577663236,0.40506779898684137,0.6666666666666666,0.3545722788142242
sequential_markers,arxiv_qbio_abstracts,arxiv_stat_abstracts,5,0.7241970409064592,0.166492468116722,1.0,0.2366160463444108
sequential_markers,arxiv_ai_abstracts,arxiv_qbio_abstracts,5,0.6777929623956155,0.20861419954369267,1.0,0.6813074033286668
sequential_markers,arxiv_ai_abstracts,arxiv_stat_abstracts,5,0.6567132260431576,0.2286039301621733,1.0,0.48703946137497955
sequential_markers,arxiv_stat_abstracts,medarxiv_abstracts,5,0.4823126741379237,0.41061848019997804,1.0,0.16810157417348282
sequential_markers,arxiv_qbio_abstracts,medarxiv_abstracts,5,0.2614357330754916,0.6709614157647689,1.0,0.22005757608133503
sequential_markers,arxiv_ai_abstracts,medarxiv_abstracts,5,0.18105572926030156,0.7707384453235491,1.0,0.6380073397715762
sequential_markers,arxiv_ai_abstracts,medarxiv_titles,3,0.09955762770832643,0.9365144745393685,0.6666666666666666,0.9759336528881538
sequential_markers,medarxiv_abstracts,medarxiv_titles,3,0.03843496687504999,0.9755255118036112,0.6666666666666666,0.33792631311657756
