dataset,dependency_bigram,head_dep,child_dep,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_ai_abstracts,acl->oprd,acl,oprd,-0.00014591061944673297,1.5834778301512077e-05,-0.00017694678491769663,-0.0001148744539757693
arxiv_ai_abstracts,acl->parataxis,acl,parataxis,5.111323345489383e-07,8.543218434812244e-07,-1.1633384786742615e-06,2.185603147772138e-06
arxiv_ai_abstracts,acl->pcomp,acl,pcomp,-2.9568967135124995e-07,8.762903733241064e-07,-2.013218803066498e-06,1.4218394603639985e-06
arxiv_ai_abstracts,acl->pobj,acl,pobj,-6.233736350534466e-06,1.411000050707176e-06,-8.999296449920531e-06,-3.468176251148401e-06
arxiv_ai_abstracts,acl->poss,acl,poss,7.742305180514389e-08,1.1713477393953288e-07,-1.5216110511634055e-07,3.0700720872662836e-07
arxiv_ai_abstracts,acl->preconj,acl,preconj,1.0119537386003862e-06,7.717548389638881e-07,-5.006857457688344e-07,2.5245932229696068e-06
arxiv_ai_abstracts,acl->prep,acl,prep,-0.00016689320373879948,6.103574907370224e-05,-0.00028652327192325584,-4.72631355543431e-05
arxiv_ai_abstracts,acl->prt,acl,prt,-1.4378548133782169e-06,3.175511785938037e-06,-7.66185791381677e-06,4.786148287060336e-06
arxiv_ai_abstracts,acl->relcl,acl,relcl,4.1452429533827187e-07,5.596477038235934e-07,-6.823852041559711e-07,1.5114337948325148e-06
arxiv_ai_abstracts,acl->xcomp,acl,xcomp,4.8100510036061e-06,2.344918178318522e-05,-4.115034529143693e-05,5.077044729864913e-05
arxiv_ai_abstracts,acomp->acl,acomp,acl,1.356645074687159e-07,2.421808320031398e-07,-3.3900992325743814e-07,6.103389381948699e-07
arxiv_ai_abstracts,acomp->acomp,acomp,acomp,-4.670855218307849e-08,1.2414207063035185e-07,-2.900270106185681e-07,1.9660990625241112e-07
arxiv_ai_abstracts,acomp->advcl,acomp,advcl,-1.953626888454903e-06,1.2907319069552493e-06,-4.483461426087192e-06,5.762076491773858e-07
arxiv_ai_abstracts,acomp->advmod,acomp,advmod,5.444360186299254e-06,3.021297885565503e-05,-5.377307837078461e-05,6.466179874338312e-05
arxiv_ai_abstracts,acomp->agent,acomp,agent,7.74538750729496e-06,1.30070915231979e-06,5.195997568748173e-06,1.0294777445841749e-05
arxiv_ai_abstracts,acomp->amod,acomp,amod,7.267436098847721e-06,2.2174283287013496e-06,2.9212765745930758e-06,1.1613595623102366e-05
arxiv_ai_abstracts,acomp->appos,acomp,appos,1.9855163638632723e-06,8.418800406092057e-07,3.3543148426922907e-07,3.6356012434573156e-06
arxiv_ai_abstracts,acomp->aux,acomp,aux,-1.7860896989477337e-07,4.090429827322467e-07,-9.803332160499768e-07,6.231152762604302e-07
arxiv_ai_abstracts,acomp->auxpass,acomp,auxpass,-3.008042064977274e-08,6.274128873873651e-07,-1.2598096799290082e-06,1.1996488386294626e-06
arxiv_ai_abstracts,acomp->cc,acomp,cc,7.072504000831429e-06,1.417655096974706e-05,-2.0713535899872807e-05,3.4858543901535664e-05
arxiv_ai_abstracts,acomp->ccomp,acomp,ccomp,-9.697469158009843e-07,3.4770765681152954e-06,-7.784816989306963e-06,5.845323157704995e-06
arxiv_ai_abstracts,acomp->compound,acomp,compound,1.419440295641003e-06,1.7992872129993247e-06,-2.1071626418376735e-06,4.946043233119679e-06
arxiv_ai_abstracts,acomp->conj,acomp,conj,1.832345676775545e-05,1.8684046179656527e-05,-1.8297273744371346e-05,5.494418727988224e-05
arxiv_ai_abstracts,acomp->dep,acomp,dep,2.1411998314292183e-07,3.2957207647476405e-07,-4.318412867476157e-07,8.600812530334594e-07
arxiv_ai_abstracts,acomp->det,acomp,det,-1.992913405829802e-06,1.1474589635531508e-06,-4.2419329743939774e-06,2.561061627343734e-07
arxiv_ai_abstracts,acomp->dobj,acomp,dobj,1.067018991736563e-06,2.574017769835046e-07,5.625115088488939e-07,1.5715264746242322e-06
arxiv_ai_abstracts,acomp->intj,acomp,intj,1.4597800098044925e-07,3.774018490043931e-07,-5.937296230681613e-07,8.856856250290597e-07
arxiv_ai_abstracts,acomp->mark,acomp,mark,-1.7096082848629448e-08,1.7415832171678137e-07,-3.5844639341352093e-07,3.2425422771626206e-07
