model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents
total_association,readability_composite,dep_bigram__compound->amod,dependency bigram,0.07871260449572597,0.07754949835910104,0.08036704508380622,1.0,0.013305878194248846,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__compound->compound,dependency bigram,0.05214314850184096,0.050626329442980164,0.05431697777654639,1.0,0.005951915830959112,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pobj->conj,dependency bigram,0.06380214488014731,0.06097474119129499,0.06696386831330405,1.0,0.008749408432146817,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__prep->pcomp,dependency bigram,0.03423733032723622,0.031907916684332,0.03756759456438874,1.0,0.0023805198541134963,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__conj->amod,dependency bigram,0.11625662935290401,0.11433832172921217,0.11773473572673059,1.0,0.028423342475769463,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__relcl->nsubj,dependency bigram,0.044321249449902615,0.04317081038409665,0.04610450844712297,1.0,0.004054698429544417,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pobj->cc,dependency bigram,-0.0148113485480233,-0.018317222663109187,-0.01188204633229912,1.0,0.000469068533190935,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__conj->prep,dependency bigram,0.0,0.0,0.0,0.0,0.0,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__pcomp->dobj,dependency bigram,0.0604671000604054,0.05656111760944879,0.0631967264181407,1.0,0.0074822389891232265,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__conj->dobj,dependency bigram,0.07098808165033454,0.0693055859243903,0.07272946050074444,1.0,0.010661002621623146,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__nsubj->compound,dependency bigram,0.03067577938090134,0.028295162924885535,0.03260106633146853,1.0,0.0022963207310457423,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ccomp->nsubj,dependency bigram,0.009789037135005445,0.007263333900494814,0.012155191606239311,1.0,0.00017314618311491836,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->conj,dependency bigram,-0.007804610783074993,-0.010812695934676382,-0.002805314106981361,1.0,0.000155990107206283,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__conj->compound,dependency bigram,0.06787888229477047,0.06577568204146444,0.06972533006718362,1.0,0.010073090808129528,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__amod->npadvmod,dependency bigram,0.07066890171891127,0.0693468584336806,0.07261694635604464,1.0,0.010966086971427536,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__xcomp->aux,dependency bigram,-0.0331593753899815,-0.03546643044998635,-0.031539302342864596,1.0,0.002532978687229257,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->ccomp,dependency bigram,-0.029544063591300854,-0.032549651344500205,-0.025878293178292378,1.0,0.002018568480318006,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__nsubj->prep,dependency bigram,0.009998364904576217,0.00888982274763133,0.011484657787876487,1.0,0.00023198578147528572,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__xcomp->dobj,dependency bigram,0.004040087738036876,0.0021683049616631252,0.006119023072033233,1.0,2.520351656070563e-05,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->auxpass,dependency bigram,-0.16730635570165378,-0.17419371972012312,-0.16413590258184924,1.0,0.05801101437610272,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->nsubjpass,dependency bigram,-0.05335557542354244,-0.05628956933161439,-0.04651002294007266,1.0,0.006354530575655319,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__amod->advmod,dependency bigram,0.024557013905461975,0.022674358057339458,0.025849119191762592,1.0,0.0013863934018407686,0.02438432060696904,0.1,0.44554596092597354,638937
total_association,readability_composite,dep_bigram__ROOT->cc,dependency bigram,-0.023818800765026415,-0.028280735635414625,-0.020352234780218095,1.0,0.0011891954530058536,0.02438432060696904,0.1,0.44554596092597354,638937
